product_id,product_name,category,price,quantity,store_location
100,Nintendo Switch,Console,299.99,120,San Francisco
107,Bose 700 Noise Cancelling Headphones,Headphones,399.99,120,Los Angeles
121,Nintendo Switch OLED,Console,349.99,120,New York
20,Apple iPad Pro,Tablet,799.99,110,Los Angeles
31,Apple HomePod,Smart Speaker,299.99,110,San Francisco
1,Apple iPhone 14,Smartphone,999.99,100,New York
25,Samsung QLED 4K TV,Electronics,999.99,100,San Francisco
43,Shure SM7B Microphone,Electronics,399.99,100,San Francisco
50,Samsung Galaxy Z Flip 4,Smartphone,999.99,100,Los Angeles
99,Sony PlayStation 4 Pro,Console,399.99,100,Los Angeles
115,Microsoft Surface Headphones 2,Headphones,249.99,100,San Francisco
123,Lenovo ThinkPad L15,Laptop,799.99,100,Los Angeles
130,PlayStation 4,Console,299.99,100,New York
7,Microsoft Surface Pro,Tablet,899.99,90,San Francisco
22,PlayStation 5,Console,499.99,90,San Francisco
49,HP Envy x360 Laptop,Laptop,999.99,90,San Francisco
82,Canon EOS Rebel T8i,Camera,899.99,90,Los Angeles
128,HP Pavilion Gaming Laptop,Laptop,899.99,90,Chicago
27,Garmin Fenix 6X,Smartwatch,699.99,80,San Francisco
47,Apple MacBook Air,Laptop,999.99,80,Los Angeles
57,Apple AirPods Max,Headphones,549.99,80,New York
69,Microsoft Surface Pro 8,Tablet,1099.99,80,San Francisco
78,Asus ZenBook 14,Laptop,899.99,80,San Francisco
103,Logitech G923 Racing Wheel,Electronics,399.99,80,New York
113,Google Pixel 7 Pro,Smartphone,1099.99,80,San Francisco
122,Dell XPS 13 2-in-1,Laptop,1399.99,80,San Francisco
131,Beats Solo Pro,Headphones,299.99,80,San Francisco
3,HP Pavilion Laptop,Laptop,699.99,75,San Francisco
23,Canon EOS R Camera,Camera,1799.99,70,Chicago
35,Lenovo ThinkPad X1,Laptop,1399.99,70,Los Angeles
44,MacBook Air M2,Laptop,1099.99,70,Chicago
54,Sony 65 4K TV,Electronics,1299.99,70,Los Angeles
77,Lenovo ThinkPad T14,Laptop,1199.99,70,Chicago
101,Dell XPS 17 Laptop,Laptop,1899.99,70,Chicago
118,Garmin Venu 2,Smartwatch,399.99,70,Los Angeles
13,HP Spectre x360 Laptop,Laptop,1399.99,60,Los Angeles
33,Dell G5 Gaming Desktop,PC,1199.99,60,Chicago
51,Lenovo Yoga Laptop,Laptop,849.99,60,Chicago
93,HP Spectre x360 14,Laptop,1499.99,60,Chicago
105,Asus TUF 15 Gaming Laptop,Laptop,1499.99,60,Chicago
112,Canon EOS 90D Camera,Camera,1299.99,60,New York
119,Samsung Odyssey G7 27 Monitor,Electronics,499.99,60,San Francisco
4,LG OLED TV,Electronics,1299.99,50,New York
21,Microsoft Xbox Series X,Console,499.99,50,New York
34,Microsoft Surface Laptop 4,Laptop,1599.99,50,San Francisco
61,Asus TUF Gaming Laptop,Laptop,1099.99,50,San Francisco
67,Sony Alpha 7C Camera,Camera,1799.99,50,Chicago
90,HP Elitebook 840 G7,Laptop,1199.99,50,San Francisco
95,Apple iPhone 12 Pro Max,Smartphone,1099.99,50,Los Angeles
106,Samsung Galaxy Z Fold 4,Smartphone,1799.99,50,San Francisco
111,Microsoft Surface Book 3,Laptop,1599.99,50,San Francisco
24,Nikon Z6 Camera,Camera,1599.99,40,Los Angeles
72,HP Elite Dragonfly Laptop,Laptop,1799.99,40,San Francisco
97,Asus ROG Strix 15 Laptop,Laptop,1699.99,40,Chicago
125,Sony 75 4K TV,Electronics,1799.99,40,Chicago
132,Apple MacBook Pro 16,Laptop,2399.99,40,Los Angeles
6,Apple MacBook Pro,Laptop,1999.99,30,Los Angeles
37,HP Omen Gaming Laptop,Laptop,1499.99,30,Chicago
65,Lenovo Legion 5 Gaming Laptop,Laptop,1399.99,30,Los Angeles
91,Dell Alienware Aurora R12,PC,1599.99,30,Los Angeles
104,Apple Watch Ultra,Smartwatch,799.99,30,San Francisco
108,Sony Xperia 1 III,Smartphone,1299.99,30,New York
120,Sony Alpha 7 III Camera,Camera,2299.99,30,Chicago
41,Asus ROG Strix Laptop,Laptop,1999.99,20,Chicago
92,Nikon D850 Camera,Camera,2999.99,10,San Francisco
134,Samsung QN90A Neo QLED TV,Electronics,2499.99,10,Chicago
